instance_name;total_time;iterative_percent;had_timeout
cgcut1;0.6;1.6;0
CHL5;1.4;5.1;0
Hchl8s;3638.20;0;1
OF2;4.3;27.7;0
cgcut3;13.9;7.6;0
wang20;1.9;37.3;0
3;16.3;7;0
3s;1.9;38.7;0
W;1.8;53.6;0
OF1;2.1;58.9;0
gcut1;0.3;9.4;0
A1;9.8;14.5;0
A1s;1.5;62.8;0
cgcut2;10;20.7;0
2;9.2;14.9;0
2s;9.6;19.2;0
CHL2;65.7;3.1;0
CHL2s;23.9;6.3;0
A2;47.9;3.2;0
A2s;2.4;50.4;0
STS2;41.7;31.2;0
STS2s;29.1;45.7;0
Hchl9;121.6;21.4;0
A3;25.1;22.4;0
HH;3654.00;0.1;1
A4;297.9;9;0
gcut5;558.3;1.4;0
okp1;319.4;31.8;0
okp3;7429.20;3.1;1
okp4;685.5;66.6;0
okp2;7667.20;6.1;1
CU1;7.4;83.9;0
STS4;205.5;31.3;0
STS4s;197.2;30.5;0
okp5;1276.20;69.8;0
CW1;318.9;6.2;0
gcut9;20.5;76.1;0
A5;700.2;17.2;0
Hchl4s;7602.50;5.3;1
Hchl3s;2518.00;12.7;0
CHL1;4577.60;7.5;0
CHL1s;1520.00;22.8;0
CHL6;2576.80;32.2;0
Hchl2;4346.30;34.2;0
CHL7;3801.30;43.3;0
CW2;3932.40;0.9;1
CU2;51.8;93.4;0
gcut2;17.6;78.9;0
gcut6;46.5;87.2;0
gcut3;34.9;89.9;0
gcut10;4.9;9.9;0
CW3;1264.80;22.3;0
gcut4;181.7;71.8;0
Hchl6s;7234.10;50;1
gcut7;117.1;72.5;0
Hchl7s;7270.40;49.5;1
gcut8;666.4;95.1;0
gcut11;4522.00;17.2;1
gcut12;2454.60;89.8;0
